SCENE_ID,PRODUCT_ID,SPACECRAFT_ID,SENSOR_ID,DATE_ACQUIRED,COLLECTION_NUMBER,COLLECTION_CATEGORY,SENSING_TIME,DATA_TYPE,WRS_PATH,WRS_ROW,CLOUD_COVER,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,TOTAL_SIZE,BASE_URL
LT50150531997099AAA02,LT05_L1TP_015053_19970409_20161231_01_T1,LANDSAT_5,TM,1997-04-09,01,T1,1997-04-09T15:21:31.9260380Z,L1TP,15,53,61.0,11.05824,9.1508,-85.08249,-82.95115,145777078,gs://gcp-public-data-landsat/LT05/01/015/053/LT05_L1TP_015053_19970409_20161231_01_T1
LT50150531991307AAA01,,LANDSAT_5,TM,1991-11-03,PRE,N/A,1991-11-03T15:18:34.0340810Z,L1G,15,53,90.0,11.0804,9.1868,-85.156,-83.02483,96091711,gs://gcp-public-data-landsat/LT05/PRE/015/053/LT50150531991307AAA01
LE70150542017178EDC00,LE07_L1GT_015054_20170627_20170724_01_T2,LANDSAT_7,ETM,2017-06-27,01,T2,2017-06-27T15:57:27.7421468Z,L1GT,15,54,78.0,9.62569,7.73794,-85.48382,-83.28588,179761024,gs://gcp-public-data-landsat/LE07/01/015/054/LE07_L1GT_015054_20170627_20170724_01_T2
LE70150532013343EDC00,LE07_L1TP_015053_20131209_20161119_01_T1,LANDSAT_7,ETM,2013-12-09,01,T1,2013-12-09T15:50:46.0780961Z,L1TP,15,53,38.0,11.07495,9.17787,-85.15058,-82.95093,219793573,gs://gcp-public-data-landsat/LE07/01/015/053/LE07_L1TP_015053_20131209_20161119_01_T1
LC80150532015277LGN01,LC08_L1TP_015053_20151004_20170225_01_T1,LANDSAT_8,OLI_TIRS,2015-10-04,01,T1,2015-10-04T15:54:26.1291940Z,L1TP,15,53,20.36,11.17212,9.06469,-85.08023,-82.99617,1008412262,gs://gcp-public-data-landsat/LC08/01/015/053/LC08_L1TP_015053_20151004_20170225_01_T1
LT50160521998349AAA03,LT05_L1TP_016052_19981215_20161222_01_T1,LANDSAT_5,TM,1998-12-15,01,T1,1998-12-15T15:39:08.4860440Z,L1TP,16,52,15.0,12.50682,10.60134,-86.29973,-84.1591,130068952,gs://gcp-public-data-landsat/LT05/01/016/052/LT05_L1TP_016052_19981215_20161222_01_T1
LE70150532015285EDC00,,LANDSAT_7,ETM,2015-10-12,PRE,N/A,2015-10-12T15:54:33.9855049Z,L1GT,15,53,82.0,11.07217,9.17227,-85.13969,-82.93453,183541111,gs://gcp-public-data-landsat/LE07/PRE/015/053/LE70150532015285EDC00
LE70160532005056EDC00,LE07_L1TP_016053_20050225_20170116_01_T1,LANDSAT_7,ETM,2005-02-25,01,T1,2005-02-25T15:50:15.6264617Z,L1TP,16,53,3.0,11.07781,9.17587,-86.69597,-84.55514,185586272,gs://gcp-public-data-landsat/LE07/01/016/053/LE07_L1TP_016053_20050225_20170116_01_T1
LE70160522016167EDC00,LE07_L1TP_016052_20160615_20161210_01_T1,LANDSAT_7,ETM,2016-06-15,01,T1,2016-06-15T16:02:45.0228942Z,L1TP,16,52,64.0,12.52059,10.62307,-86.38196,-84.16447,207761887,gs://gcp-public-data-landsat/LE07/01/016/052/LE07_L1TP_016052_20160615_20161210_01_T1
LM50160531985137AAA03,LM05_L1GS_016053_19850517_20180406_01_T2,LANDSAT_5,MSS,1985-05-17,01,T2,1985-05-17T15:30:42.6820000Z,L1GS,16,53,31.0,11.03808,9.20039,-86.59928,-84.49346,22443309,gs://gcp-public-data-landsat/LM05/01/016/053/LM05_L1GS_016053_19850517_20180406_01_T2
